,buyerName,rating,reviewContent,reviewTime
38,Jihan F.,5,"Pas sempurna dengan desain high waist., Celana kargo yang trendi dan fungsional., Bagus untuk aktivitas di luar ruangan., Celana kargo yang stylish dan modis., Celana kargo serbaguna untuk berbagai acara.,  ",24 Des 2023
39,Fitri H.,5,"mantulll, nexs order lg ",17 Des 2023
40,rahmachaniago,5,"sesuai pesanan, celana cargo bagus, bahannya adem, jahitan rapi, kurir nya baik dan ramah makasihh lazada  ",17 Des 2023
41,Rani A.,5,"jelek g sesuai dgn gambar mna sobek lgi Deket saku nya, jahitan nya juga g rapih Poko nya 👎 ",17 Des 2023
42,Livia,5,"Bahan yang tahan lama untuk penggunaan jangka panjang., Celana kargo yang stylish dan modis., Bagus untuk aktivitas di luar ruangan., Kain nyaman dan bernapas.,  ",17 Des 2023
43,neneng S.,5,sesuai harga...... ,17 Des 2023
44,Arief S.,5,"Pas sempurna dengan desain high waist., Bagus untuk aktivitas di luar ruangan., Beragam pilihan warna yang dapat dipilih., Celana kargo yang stylish dan modis.,  ",17 Des 2023
45,Arief S.,5,"Kain nyaman dan bernapas., Pas sempurna dengan desain high waist., Bahan yang tahan lama untuk penggunaan jangka panjang.,  ",17 Des 2023
46,suci A.,5,"Pas sempurna dengan desain high waist., Desain highwaist sedang trendi., Celana kargo yang trendi dan fungsional., Celana kargo yang stylish dan modis.,  ",13 Des 2023
47,Ayyuk A.,5,"Pas sempurna dengan desain high waist., Bagus untuk aktivitas di luar ruangan., Bagus untuk aktivitas di luar ruangan., Bahan yang tahan lama untuk penggunaan jangka panjang., Mudah dipadukan dengan berbagai outfit.,  ","3  minggu lalu
"
48,Third-Party-User,5,tidak sesuai ekspektasi ,17 Okt 2023
49,sant I.,5,pas..sesuai gambar dan pesanan..trimkasih seller..lazada dan kurir..sukses buat semua.. ,18 Nov 2023
0,Alifah,5,"Bahan:bagus
 Ukuran:sesuai
 Rancangan:rapih
 ",17 Okt 2023
1,Sae E.,4,kegedean bangettttttttttttttttt ,14 Nov 2023
2,Nia R.,5,"Celana kargo yang trendi dan fungsional.,  ",12 Des 2023
3,L***.,5,cantik banget ,20 Okt 2023
4,0***9,5,"Rancangan:
tidak sesuai pesanan ",19 Okt 2023
5,nanik S.,4,celana ukuran remaja jd kl dewasa kurang gedhe  ,"3  minggu lalu
"
6,nineng N.,4,"Bahan:jelek
 Ukuran:kkecillan
 Rancangan:jelek semua ",13 Des 2023
7,8***6,5,"Bahan yang tahan lama untuk penggunaan jangka panjang.,  ",21 Nov 2023
8,0***1,5,bagus mantaf👍👍 ,17 Okt 2023
9,0***4,5,"bagus 
 Ukuran:pas ",20 Okt 2023
10,w***.,4,bagus sesuai harga..anak ku suka terimaksh salam sukses selalu ,13 Nov 2023
11,Rosita,5,"Kain nyaman dan bernapas., Celana kargo yang stylish dan modis., Mudah dipadukan dengan berbagai outfit.,  ",13 Des 2023
12,8***9,5,"Mudah dipadukan dengan berbagai outfit.,  ","3  minggu lalu
"
13,Armi A.,5,aku dengan model celananya .kainnya halu dan ringan.cocok di pakai untuk santai ,19 Nov 2023
14,Ahmad A.,5,bahanny gajelasss ga sesuaii espektasi sy. ,13 Des 2023
15,Ariqah O.,5,"bahan y bagus kok cuman pas dtng plastik nya udh sobek
 ",18 Okt 2023
16,Maryati,5,"Kain nyaman dan bernapas., Mudah dipadukan dengan berbagai outfit., Pas sempurna dengan desain high waist., Desain highwaist sedang trendi., Bagus untuk aktivitas di luar ruangan., Celana kargo yang stylish dan modis.,  ",13 Des 2023
17,Aprilia K.,5,"Bahan:tipis, nerawang  ",20 Okt 2023
18,8***3,5,bagus nyaman di pakai  ,14 Nov 2023
19,Shella H.,5,Bagus mantep ,18 Nov 2023
20,0***5,5,cukup memuaskan dgn harga segitu. ,"4  minggu lalu
"
21,Farahdhilah T.,5,"Bahan: bgsss
 Ukuran: sesuaiiii
 Rancangan: rapihhh   
 ",13 Des 2023
22,Tya A.,5,the best poknmah cck bgtt Hhha😁👍👍 ,"4  minggu lalu
"
23,noorarofikha,5,bagusss bgt murah tidak murahan tp di aku agak sempit dikit😁 tapi masih bagus kok jgn ragu beli di toko ini ,13 Nov 2023
24,*********742,5,"kerenn banget udah order yang ke 2 kalinyaaa, thanks y,next orderr lagii  ",15 Des 2023
25,kika,5,bagusssss ,16 Okt 2023
26,Ayu A.,5,"pengiriman cepat, barang sesui🤗😍 ",13 Des 2023
27,*********732,5,bagus banget. terimakasih ya🥰🙏 ,17 Nov 2023
28,Agnes U.,5,"Bahan:bagus  
 Ukuran:pas
 Rancangan:pikirnya ad resleting nya kak eh mala ngak ad tapi ngka apa"" bagus
 ",17 Okt 2023
29,mumun A.,5,celana nya ok ,10 Des 2023
30,Siti N.,5,cute😗 ,"2  minggu lalu
"
31,herna W.,5,gede bngt di aku 🙈 ,03 Des 2023
32,Karniti D.,5,top Marko top bag us sekalih makanya says pesen magi Kurir jugabaik Dan so pan selalu but langanan sayaterima kasih buattokonya dankurirnya ,26 Nov 2023
33,Elan88964,5,"Kain nyaman dan bernapas., Bahan yang tahan lama untuk penggunaan jangka panjang., Mudah dipadukan dengan berbagai outfit.,  ",26 Nov 2023
34,8***3,5,sesuai jarga ,12 Nov 2023
35,Citra M.,5,bagus ,06 Jan 2024
36,Umi S.,5,keren ,26 Des 2023
37,ameliawp23,5,baik  ,29 Des 2023
38,sarim,5,ok lh ,04 Des 2023
39,citra J.,5,"Bahan:bagus
 Ukuran:kegedean
 Rancangan:bagus si walau pinggang nya kegedean ",03 Okt 2023
40,*********629,5,"bahan nya bagus
 ",29 Okt 2023
41,jocko212,4,lumayan ,16 Nov 2023
42,YURARA S.,5,"Bahan:crincle
 Ukuran:standar
biar bintang yang rekomendasikan 😍😍 ",15 Okt 2023
43,Mas T.,5,Dikiri bukan kolor ternyata kolor bagis sih cuman baru sekali pake langsung bolong😒 ,15 Okt 2023
44,*********384,5,bagus,15 Jan 2024
45,Deliyanti,5,okee ,21 Okt 2023
46,Imas N.,5,lmyn ,21 Okt 2023
47,guest,5,baik ,02 Jan 2024
48,sherinaauliyanie,5,bgus ,16 Des 2023
49,Yunani,5,"terakota bhan nya bgus dan tebal walaupun ukuran nya kebesaran di aku,  dan krna bgus aku juga bli yg hitam, klu yg hitam bhn nya tipis dan nerawang tapi bgus pas ukuran nya di aku, klu pake yg hitam aku jdi pake lejing daleman nya, dan kurirnya baik juga ramah, trima ksih buat tokoh nya dan mas kurir nya, krna pengiriman nya cpt bnget jdi aku ngerasa puas pokonya mantul👍👍👍👍 ",08 Okt 2023
0,Jijah,5,"bagus
 ",03 Des 2023
1,8***7,5,Ukuran:kebesaran ,01 Okt 2023
2,Warno 0.,4,warna dan bhn sesuai  cmn ukuran.y gk sesuai aku psn standar yg dtg jumbo ,08 Jan 2024
3,8***7,4,"Bahan:bagus 
 Ukuran:pas
 Rancangan:pakai 
 ",06 Jan 2024
4,*********108,4,"Rancangan:
sesuai harga ",02 Jan 2024
5,Sitijuliah S.,5,"Alhamdulillah bagus banget sama dengan yang di poto...
jangngan ragu beli di toko ini bagus banget cuss di cek out
makasih ke lazada sama Kuriri nya juga ramah banget kalo sama yang langganan mah kalo bukan nya enggak  ",10 Okt 2023
6,Dewi A.,4,"Beragam pilihan warna yang dapat dipilih., Celana kargo yang stylish dan modis., Celana kargo serbaguna untuk berbagai acara., Mudah dipadukan dengan berbagai outfit., Bagus untuk aktivitas di luar ruangan., trimakaseh Lazada.. ",18 Jan 2024
7,Reva A.,4,ga sesuai ekspektasi saya  ,21 Des 2023
8,b***r,4,"pesen xxl datengnya s. 
 ",02 Des 2023
9,Warno 0.,4,warna y sesuai cmn ukuran.y gk sesuai aku psn standar dtg  jumbo ,08 Jan 2024
10,S***.,4,"celananya bagus, sesuai dengan harga, toko amanah, terimakasih, semoga makin larisBeragam pilihan warna yang dapat dipilih.,  ","2  minggu lalu
"
11,Puput I.,4,emmmm lumayannn okeeeeeeee lahhhh😉😉😉😉😉😉😉 ,"1  minggu lalu
"
12,SINDI S.,5,"Bahan:
Alhamdulillah barang nya sesuai gambar thank lazada  ",14 Okt 2023
13,Hanani D.,5,tipis ga sesuai  ,11 Okt 2023
14,A***a,4,"Bahan:tidak sesuai
 Ukuran:tidak sesuai
 Rancangan:tidak sesuai

sangat
sangat
sangat mengecewakan ",28 Nov 2023
15,Wiwin W.,4,"celana nya bagus sih tapi sayang di aku kegedean, tapi gpp masih bisa di pake orang  ",28 Des 2023
16,Priska A.,4,"Celana kargo serbaguna untuk berbagai acara.,  ",17 Jan 2024
17,Ana R.,4,"Kain nyaman dan bernapas.,  ",11 Jan 2024
18,Aples,4,"celananya ke gdean
 ",02 Jan 2024
19,8***9,4,"Mudah dipadukan dengan berbagai outfit., Desain highwaist sedang trendi., Beragam pilihan warna yang dapat dipilih., Pas sempurna dengan desain high waist., Beragam pilihan warna yang dapat dipilih.,  ",09 Des 2023
20,Linda,4,celana nya bgus cuma agak tipis 😁 ,14 Des 2023
21,A***i,4,"keren Poko nmh,,,
walaupun seler nya slow respon  ",17 Jan 2024
22,Dewi A.,4,"Celana kargo yang stylish dan modis., Mudah dipadukan dengan berbagai outfit., Celana kargo yang trendi dan fungsional., Celana kargo serbaguna untuk berbagai acara., Bagus untuk aktivitas di luar ruangan.,  ",18 Jan 2024
23,EkaaChalondra,5,Bahan nya bagus tapi ukurannya ga sesuai ,13 Okt 2023
24,0***8,4,ga sesuai di gambar tp ydh lh ga apa apa terimakasih ya seler☺ ,08 Jan 2024
25,E***.,4,"suka, cuman jahitan kurang rapih ",30 Des 2023
26,Y***a,4,"demi apapun ini bagus bgtt sya smpe beli lagi untuk yg kedua kalinya next bkll beli lgi yg wrna lain
 Bahan:mayan gak nrawang
 Ukuran:pass bgtt ccok
 Rancangan:bgss gda yg ccatt ","1  minggu lalu
"
27,*********551,5,Bagus lembut bahanny ,11 Okt 2023
28,Minihh,4,Bagus Sesuai harapan🤗 ,"7  hari lalu
"
29,guest,5,cantik ,16 Nov 2023
30,okih S.,5,you ,26 Des 2023
31,Warno 0.,5,pik ,15 Jan 2024
32,Warno 0.,5,pik ,15 Jan 2024
33,Mila Y.,5,"goood 
 ",24 Sep 2023
34,Azmys,5,ok ,30 Des 2023
35,ujang A.,5,ok ,18 Des 2023
36,novitaharyani69,4,"gmn ya, bgs iya cuma jahitan ny ga kokoh sobek trs..suda sy jahit atas nya lgi sobek pdhl d cba pke duduk doang, sedikit kecewa. ",10 Des 2023
37,*********551,5,Bagus  ,11 Okt 2023
38,Yonanda S.,5,"Bahan: sangat tipis

 Ukuran:pas
 Rancangan:sangat bagus ",10 Okt 2023
39,**********288,5,"Bahan:tipis tapi Adem dipake 
 Ukuran:standar size 
 Rancangan:gak ngecewakan costumer aku suka sama celana 
 ",10 Okt 2023
40,Emiliana J.,5,"ga sesuai, celananya jelek banget ",10 Okt 2023
41,najwa18cell,5,ok ,13 Des 2023
42,V***.,4,"Bahan:cukup tipis
 Ukuran:pas
 Rancangan:sangat bagus
semuanya bagus, cm bahannya agak tipis jd takut robek pas d pknya. ",08 Okt 2023
43,Rima,5,"Bahan:bagis
 Ukuran:pas
 Rancangan:jaitan rapih ",05 Okt 2023
44,****1,4,sya kira dpn nya kancingan + ressleting jg sprti di gmbar trnyta ngk tpi gpp lh  ,24 Sep 2023
45,A***.,4,good  ,10 Des 2023
46,Nining Y.,5,"Bahan:adem
 Ukuran:pas
 Rancangan:ok ",02 Okt 2023
47,*********172,5,knpa kulot ya dkirim ka??? ,03 Okt 2023
48,callystaaaa,5,,14 Des 2023
49,Muhammad A.,5,,07 Des 2023
0,R***.,3,"Bahan:gak tebal dan gak tipis
 Ukuran:kegedean soalnya ngga bisa pilih ukuran
 Rancangan:jahitan nya kurang rapih ",20 Nov 2023
1,najwa18cell,5,,13 Des 2023
2,Nani S.,5,,"3  minggu lalu
"
3,8***0,3,pesan warna cream yg di kirim warna lain!!!!!!!!!!!!!!!!! ,23 Des 2023
4,Diyanah P.,3,"alhamdulillah sesuai,tadiny udah aku batalin takut gk sesuai tapi di tolak,, ",10 Nov 2023
5,YAQUB M.,2,"Bahan:tipis
 Ukuran:terlalu besar
 Rancangan:amburadul
 ",14 Okt 2023
6,R***.,2,"kecewa berat sih,, pesen cargo datengnya kulot,,kecewa parah inimah ","4  minggu lalu
"
7,Lisna S.,3,lumayan harga segitu ,09 Nov 2023
8,Linda S.,3,bagus bahan dan warnany pas dcobain muat perutny tp ga muat dpahany..alamat kudu dpermak lg dtkng jahit ini mah..,14 Des 2023
9,amalia N.,3,"bagus tapi gampang sobek
 Bahan:agak tipis ",29 Des 2023
10,d***.,3,"Desain highwaist sedang trendi., Celana kargo yang stylish dan modis., Celana kargo yang trendi dan fungsional., Pas sempurna dengan desain high waist.,  ",07 Des 2023
11,8***4,3,"bgus 
TPI kain nya Merawang  ",22 Des 2023
12,A***.,3,"parah bgtt dikirim nya beda dri foto.
mana gedee bgt😭😭 ",27 Okt 2023
13,0***6,3,"Bahanya tipis kainnya jatuh, sedikit panjang, Rancangannya bagus, cuman jahitanya sedikit kurang rapi,, tapi Lumayanlah dg harga sangat murah ",19 Des 2023
14,Octa A.,3,"Bahan:mym
 Ukuran:kbsrn
 Rancangan:b sja ",19 Des 2023
15,Oci,3,"Bahan:lumayan lah dengan harga yang segitu
 Ukuran:celana nya kegedean di aku

 ",24 Okt 2023
16,N***.,3,kebesaran ukuran tidak sesuai saya kecewa tidak real pic ,08 Des 2023
17,Priska A.,3,"Bagus untuk aktivitas di luar ruangan.,  ",17 Jan 2024
18,Gina D.,3,"Celana kargo serbaguna untuk berbagai acara., Pas sempurna dengan desain high waist.,  ","2  minggu lalu
"
19,0***5,2,"katany kancing hidup,, ",29 Des 2023
20,e***n,3,"ukurannya standar tapi di aku tetep kebesaran,kainnya juga ga sesuai ekspetasi aku dikiranya tebel ternyata tipis banget.mau kecewa tapi untuk harga segitu mau minta gimana ",24 Des 2023
21,R***.,3,"Tidak sesuai ekspektasi. Tapi gapapa, masih nyaman di pakai... ",03 Des 2023
22,8***2,1,"penipuan,,pngn barang CPT abis kirim nya asal,,,punya mata ga,,,kalian dengan gampang nya bilang retur ,,emang ga ribet klo retur,,,,pantes lama ngirim nya nyari barang yg warna nya sama ya,tp model ga sesuai,,,kecewa,,gq berkah usaha nya,,kluarin aja pihak lazada toko yg mentingin diri sendiri kaya gini,,ngapokin pelanggan...apapun niat ga baik,,ga bakal berkah...",18 Okt 2023
23,Nahaar R.,1,saya pesan 4 yg datang hanya 3 ,14 Des 2023
24,guest,1,bahan tipis barang tidak sesuai dengan di foto sangat kecewa tidak sesuai dengan harga segitu  ,04 Nov 2023
25,Nhur S.,2,tidak sesuai gambar  ,12 Okt 2023
26,g***t,2,"Celana kargo yang stylish dan modis., Mudah dipadukan dengan berbagai outfit.,  ",03 Jan 2024
27,Ajisyaputra,2,"Celana kargo yang stylish dan modis., Celana kargo yang trendi dan fungsional., Bahan yang tahan lama untuk penggunaan jangka panjang., Kain nyaman dan bernapas., Bagus untuk aktivitas di luar ruangan.,  ",05 Jan 2024
28,Jenny J.,2,kurng bagus untuk bagian slengkangan nya ketat bwh nya gombrong  ,06 Des 2023
29,A***.,2,celana yang diterima ngga sesuai sama gambar dan deskripsi ,22 Des 2023
30,Ariadi,2,mabasbshehebebenrnrnrnr ,21 Des 2023
31,*********928,2,🙃 kebesaran di aq,02 Jan 2024
32,Abiya,2,"Bahan:bahan nya tidak sesuai
 Ukuran:pas 
 Rancangan:mayan aja  ",04 Jan 2024
33,toni R.,2,"Rancangan:

warna brown nya terlalu cerah/pudar  ",25 Okt 2023
34,Ardellia A.,2,warna dan bahan tidk sesuai ,"4  hari lalu
"
35,Lita L.,2,kecewa ,02 Des 2023
36,Chellsy L.,1,"apaaan katanya cargo, gw beli kulot biasa dislike! ",26 Sep 2023
37,g***t,1,"pesen waran putuh ko yang datang coklat gimna sih😌
 Bahan:adem sih tipis lagih 
 Ukuran:muat 
 Rancangan:tipiss tapi g ppa lah harga nya juga pas sesuai mungkin🙄 ",09 Okt 2023
38,088289366100 7.,1,"makasih,kira bahan katun ,eh malah ngaret ... gak sesuai d gambar kaya nya... ","1  hari lalu
"
39,Melani M.,1,cln nya sudah keterima kain nya enaken adem  ,17 Jan 2024
40,*********541,1,"payah gak ada sletingnya , padahal mau jadi langganan . dichatt jg gadirespon sama sekali .  ",13 Jan 2024
41,Mia,1,bener2 bedaa bgt sama gambar. di gambar celana cargo tp yg dtg celana kulot polos biasa. hadeh ,30 Des 2023
42,Angelia O.,1,bahannya tipis g sesuai ,"17 jam lalu
"
43,"Mmh,salwa",1,mff baru komen kmrn waktu ngatrin paket kurir y jutek bgtt ,29 Nov 2023
44,Intan M.,1,bahan nya jatuh TPI saya pesen standar eh yg dtng jumbo gedeeee bgetttttttt ,11 Des 2023
45,S***.,1,sangat kecewa celananya gak sesuai gambar ,15 Des 2023
46,Iis I.,1,celan anya bagusss  sesuai sama yg di gambar saya sukaa ,30 Des 2023
47,Titian,1,ok ,01 Okt 2023
