,buyerName,rating,reviewContent,reviewTime
37,8***4,4,"Lumayan Pass , Ngak sama broo, sayang saku bawah rempelnya ngak ada saku cuma atas kanan dan kiri, pesen 2 warna tetep dikasih 1 warna pdhl udah cat Admin 😇😇 ",13 Okt 2023
38,f***.,5,"Bahan yang tahan lama untuk penggunaan jangka panjang., Celana kargo serbaguna untuk berbagai acara.,  ",07 Des 2023
39,Resitaananda,5,"Celana kargo yang trendi dan fungsional., Kain nyaman dan bernapas., Bagus untuk aktivitas di luar ruangan., Celana kargo yang stylish dan modis.,  ",30 Nov 2023
40,Wulan S.,5,bagus bngttt sesuai yg difoto ,27 Des 2023
41,Siti M.,5,"Bahan:bahan tebal
 Ukuran:pas
 Rancangan:bagus pengiriman cepat ",24 Nov 2023
42,0***4,5,sesau degan harga kainya bagus rapi semapaurana mantaps lah kukuriya ngk asikk🤣🙏 ,17 Des 2023
43,0***8,5,"Bahan:bagus,jahitan rapi
 Ukuran:pas
 Rancangan:
pengiriman cepat next order lagi,makasih ","17 jam lalu
"
44,guest,5,bagus banget  ,22 Des 2023
45,melia N.,5,"Mudah dipadukan dengan berbagai outfit., Celana kargo yang trendi dan fungsional.,  ",11 Jan 2024
46,S***.,5,"Desain highwaist sedang trendi., Kain nyaman dan bernapas.,  ",13 Jan 2024
47,AISYAH P.,5,"bagus bangett,bahannya juga bagus Pokoknya the besar bangett🥰😍,ga nyesel beliii disinii ",06 Des 2023
48,Rifaa,5,terimakasih ,14 Des 2023
49,L***.,5,"Bahan:bagus 
 Ukuran:pas 
 Rancangan:sangat bagus dan sangat nyaman digunakan terimakasih  ",16 Des 2023
0,Yati,5,pengirimannya cepat sesuai pesanan saya bagus..tapi pesaknya terlalu tinggi gak nyaman di pakenya sama resletingnya gak cocok ,05 Des 2023
1,8***9,5,"pengiriman cepat
pengemasan bagus
barang realpic
next order lagi ","3  minggu lalu
"
2,jihan,4,"Bahan:crinkle 
 Ukuran:pas
 Rancangan:bagus dehh
suka sama bahannya adem sukaa pokoknyaaa ",29 Sep 2023
3,*********792,5,baguss  ,"2  minggu lalu
"
4,n***a,5,"ini celananya bagus sih, tapi tipis bangettt, jadi harus pake celana double biar ga terlalu nyeplak. terus juga di aku ketat, apa memang kaya gini ya modelnya?, kurang tau sii. bisa juga karna pahaku kebesaran😁 ",31 Des 2023
5,Eva A.,4,"bagus lumayan dengan harga segitu,bahan nya jatoh dan lumayan tebal ",10 Nov 2023
6,Dhëel J.,5,ah mantap sekaliiiiiii yaaa  ,"3  minggu lalu
"
7,dinda A.,5,"Bahan:bgus adem
 Ukuran:28
 Rancangan:bangus buat kemana bisa buat main
 ","3  minggu lalu
"
8,guest,5,bagus banget rel pick  ,"4  minggu lalu
"
9,S***.,5,"Bahan:bagus
 Ukuran:besar
 Rancangan:bagus
bahan adem sedikit nerawang, tapi baguss ","3  minggu lalu
"
10,8***1,5,sesuai pesanan 👍👍👍 ,18 Okt 2023
11,Muti A.,4,"Bahan:crincle
 Ukuran:29
 Rancangan:keren poll
 ",16 Nov 2023
12,A***.,4,"nnnnnnnnnnnnneeeeeeeerrrrrrrrraaaaaaawwwwwaaanngggggg
 Bahan:nrwng ",15 Des 2023
13,Nhur S.,5,"Bahan:bagus
 Ukuran:XL
sudah saya terima paketnya
kenapa paketnya tidak sesuai gambar
 ",12 Okt 2023
14,mamah R.,5,bagus banget celananya.ukuran pas. panjangnya pas. pengiriman cepat 2hari sampe. ukuran jumbo pas bgt BB aku 64 TB 157.  ,"3  minggu lalu
"
15,Malaa,5,buat kalian yang masih bingung jangan ragu order disini aku bb 70 masi muat dan longgar ga nyesel next order lgi ,15 Des 2023
16,8***7,5,bagus sii mnrtku lumayan ,15 Des 2023
17,f***.,5,"Bahan:adem
 Ukuran:pas
 Rancangan:bagus
alhamdullilah barangnya udh nyampai makasih
 ",28 Sep 2023
18,guest,4,bagus bangett Nexs order lagi walaupun bahany ga tebel tapi bagus ,22 Sep 2023
19,Febry O.,4,barang lah sampai dengan selamat dan kurir nya ramah.barang sperti di foto dan pas ukuran ,"2  minggu lalu
"
20,8***5,5,"nyesel bangttt bli bnyk g sesuai modell mana lgi pesanan orng al hasil pada g mau , besok lagi yng teliti kak ",13 Okt 2023
21,Santhy,4,"Bahan:halus, jatuh, gak gampang kusut
 Ukuran:agak kepanjangan sedikit, tp gpp
 Rancangan:bagus, sesuai gambar, cuma bahannya agak tipis aja, ya mungkin sesuai sama harga ",16 Des 2023
22,Nurmayangsari S.,4,jdiduhshshsbdhhdhdnjfjjcncncnnxjdjdjndndndnnxnxnjxjsnx ,07 Des 2023
23,Syifa F.,4,"Bahan:nyaman
 Ukuran:pas

Bagus sih bahannya nyaman, ya meskipun gak sama di gambar tapi bagus, aku suka banget.😍😘😘 ","2  minggu lalu
"
24,D***.,5,pengriman nya cpat bangt dan clananya pas buat adik sya ..nanti sya order.lgi mkasih 🙏 ,07 Okt 2023
25,Nurul F.,5,"Bahan:crinkle
 Ukuran:gede bgt ah
 Rancangan:baguussssss



baguuus sihhhh cakep bangeeettttttt ",05 Okt 2023
26,*********236,5,trima kasi Lazada barangnya bagus sekali ,10 Okt 2023
27,f***.,4,"Bahan:bgs 
 Ukuran:pas

 Rancangan:sesuai  ",01 Okt 2023
28,Third-Party-User,5,"Bahan:bagus mantap sesuai

 Ukuran:pas juga
 Rancangan:bahannyq bagus banget
 ",23 Sep 2023
29,Warno 0.,5,makasih seler dan juga kurir.y barang tiba dgn selamat selalu pik ,13 Jan 2024
30,guest,5,sangat bagus  ,28 Des 2023
31,********926,5,"model sama tapi bhan.y ko beda.
ini kaya kolor bhan.y. ","2  minggu lalu
"
32,N***i,5,"jumbo,,mksihh,, ","3  minggu lalu
"
33,Anis I.,5,"Bahan yang tahan lama untuk penggunaan jangka panjang., Celana kargo yang stylish dan modis.,  ","17 jam lalu
"
34,Sonia,5,"keren celana nya.
sesuai gmbar.
saku ny ad 5. 
sesuai yg diinginkan.
mksh seller.🤗 ",25 Okt 2023
35,8***1,5,bgus. bgwt,06 Nov 2023
36,Aripin 0.,5,sesuai dengan pesenan ok bgtt bagus ,28 Nov 2023
37,0***6,5,bagus bgt ,08 Jan 2024
38,Nurhayati,5,"Mudah dipadukan dengan berbagai outfit., Celana kargo yang stylish dan modis., Mudah dipadukan dengan berbagai outfit., Desain highwaist sedang trendi.,  ",15 Des 2023
39,Aulia N.,5,bagussss bgtt sayang yg hitamnya dikirim beda 😭 ,27 Okt 2023
40,F***i,5,"Bahan:bagus
 Ukuran:kegedean di badan
 Rancangan:menarik  ",26 Okt 2023
41,********556,5,kk celana nya bagus bgt muat di bb aku 85 smoga awet ea celana nya bahan bagus bgt adem di pake lembut poko nya nanti mau order lagi ,04 Des 2023
42,adeliaputri,5,"Buagusssss polllll,syukaaaaaa🙏🏻😭 ",06 Des 2023
43,Eli W.,5,"Celana kargo yang stylish dan modis., Desain highwaist sedang trendi., Pas sempurna dengan desain high waist.,  ",13 Jan 2024
44,Dhirfin,5,bagus celananya nyaman dipake bahan crinckle jatuh ,25 Des 2023
45,Dhika D.,5,Rancangan:bagus ,"1  minggu lalu
"
46,bunda J.,5,"celana ga sesuai gambar,ga jls kecil bgt",22 Nov 2023
47,8***0,5,"paket udah datang barangnya bagus dan jatoh lagi
pokonya sip ","1  minggu lalu
"
48,Rupiyanti,5,"Mudah dipadukan dengan berbagai outfit.,  ","19 jam lalu
"
49,0***1,5,"Mudah dipadukan dengan berbagai outfit., Pas sempurna dengan desain high waist., Desain highwaist sedang trendi.,  ","3  hari lalu
"
0,*********207,5,"Kain nyaman dan bernapas.,  ",01 Jan 2024
